"cid","age","job","marital","education","default","balance","housing","loan"
"C00140",46,"blue-collar","married","2","no",265,"yes","no"
"C00145",59,"blue-collar","married","2","no",57,"yes","no"
"C00146",33,"services","married","2","no",22,"yes","no"
"C00152",26,"student","single","2","no",0,"yes","no"
"C00155",50,"technician","married","1","no",139,"no","no"
"C00158",60,"retired","divorced","2","no",216,"yes","no"
"C00161",48,"services","married","","no",1705,"yes","no"
"C00170",50,"blue-collar","married","1","no",0,"no","no"
"C00177",48,"unemployed","married","2","no",41,"yes","no"
"C00179",54,"services","married","2","no",214,"yes","no"
"C00182",35,"technician","divorced","2","no",787,"yes","no"
"C00185",36,"admin.","married","3","no",211,"yes","no"
"C00188",54,"management","married","2","no",4080,"no","no"
"C00199",43,"management","married","3","no",400,"yes","no"
"C00201",47,"admin.","married","2","no",219,"yes","no"
"C00203",44,"blue-collar","married","2","no",575,"yes","no"
"C00204",35,"student","single","","no",298,"yes","no"
"C00206",50,"services","married","2","no",5699,"yes","no"
"C00212",53,"retired","married","2","no",330,"yes","no"
"C00213",59,"housemaid","divorced","1","no",195,"no","no"
"C00214",36,"services","married","2","no",301,"yes","no"
"C00216",40,"technician","married","3","no",483,"yes","no"
"C00220",39,"management","married","3","no",378,"yes","yes"
"C00225",43,"technician","divorced","","no",205,"yes","no"
"C00226",48,"blue-collar","married","1","no",278,"yes","no"
"C00231",47,"blue-collar","married","1","no",-12,"yes","no"
"C00233",57,"entrepreneur","married","2","no",294,"yes","no"
"C00249",39,"blue-collar","married","2","no",483,"yes","no"
"C00250",51,"services","married","2","no",2248,"yes","no"
"C00254",33,"technician","divorced","2","no",140,"yes","no"
"C00259",36,"services","married","2","no",143,"yes","yes"
"C00262",34,"management","single","3","no",318,"yes","no"
"C00265",41,"entrepreneur","married","1","no",236,"yes","no"
"C00270",40,"blue-collar","married","1","no",0,"yes","no"
"C00281",50,"blue-collar","married","1","no",61,"yes","no"
"C00282",41,"admin.","married","2","no",-62,"yes","yes"
"C00289",32,"blue-collar","married","2","no",1331,"yes","no"
"C00290",40,"self-employed","married","2","no",672,"yes","no"
"C00292",54,"technician","single","","no",447,"yes","no"
"C00297",31,"blue-collar","single","2","no",3,"yes","no"
"C00303",57,"retired","married","2","no",211,"yes","no"
"C00304",36,"services","single","2","no",62,"yes","no"
"C00307",54,"management","married","3","no",313,"yes","no"
"C00308",55,"blue-collar","married","2","no",89,"yes","no"
"C00314",37,"services","divorced","2","no",398,"yes","yes"
"C00320",42,"blue-collar","married","2","no",490,"yes","no"
"C00323",48,"management","married","2","no",161,"yes","no"
"C00327",40,"blue-collar","single","2","no",436,"yes","no"
"C00330",41,"blue-collar","married","2","no",290,"yes","no"
"C00335",45,"management","divorced","3","no",24598,"yes","no"
"C00337",42,"admin.","single","2","no",1022,"yes","no"
"C00338",53,"technician","married","2","no",56,"yes","yes"
"C00339",51,"admin.","single","2","yes",-2,"no","no"
"C00341",41,"blue-collar","single","2","no",842,"yes","no"
"C00342",43,"management","divorced","2","no",693,"yes","no"
"C00344",50,"blue-collar","married","1","no",1533,"yes","no"
"C00347",45,"technician","married","2","no",44,"yes","no"
"C00354",36,"blue-collar","married","2","no",0,"yes","no"
"C00357",44,"blue-collar","single","2","no",34,"yes","no"
"C00359",40,"blue-collar","married","2","no",211,"yes","no"
"C00361",48,"management","married","3","no",263,"yes","no"
"C00362",42,"services","married","2","no",1263,"yes","no"
"C00363",27,"services","married","2","no",8,"yes","no"
"C00364",48,"admin.","married","2","no",126,"yes","yes"
"C00378",43,"blue-collar","married","1","no",98,"yes","no"
"C00381",38,"blue-collar","married","2","no",757,"yes","no"
"C00386",58,"services","married","2","no",1667,"yes","yes"
"C00387",57,"technician","married","","no",345,"yes","no"
"C00389",56,"management","married","3","no",830,"yes","yes"
"C00399",34,"blue-collar","married","2","no",283,"no","yes"
"C00402",48,"technician","married","2","no",141,"yes","yes"
"C00403",29,"self-employed","single","3","no",16,"yes","no"
"C00404",50,"services","married","2","no",206,"yes","no"
"C00406",50,"management","married","3","no",0,"no","no"
"C00407",58,"retired","married","3","no",0,"no","no"
"C00411",32,"services","single","2","no",406,"yes","no"
"C00414",48,"admin.","married","2","no",182,"yes","no"
"C00419",52,"blue-collar","divorced","1","no",55,"yes","yes"
"C00425",38,"technician","single","3","no",9,"yes","no"
"C00435",32,"blue-collar","married","2","no",320,"yes","no"
"C00437",45,"blue-collar","married","2","no",39,"no","no"
"C00440",35,"admin.","married","2","no",530,"yes","no"
"C00445",34,"technician","married","2","no",367,"yes","no"
"C00446",51,"admin.","divorced","2","no",228,"yes","no"
"C00450",42,"blue-collar","married","","no",132,"yes","no"
"C00452",40,"services","married","2","no",71,"no","no"
"C00459",33,"blue-collar","single","2","yes",-60,"no","no"
"C00460",35,"blue-collar","married","2","no",89,"yes","no"
"C00463",43,"blue-collar","married","2","no",-509,"yes","no"
"C00466",57,"retired","single","2","no",1640,"no","yes"
"C00478",31,"management","single","2","no",301,"yes","no"
"C00485",30,"services","single","2","no",209,"yes","no"
"C00487",43,"blue-collar","divorced","2","no",110,"yes","yes"
"C00488",59,"management","divorced","3","no",-76,"yes","yes"
"C00492",29,"blue-collar","married","2","no",1,"yes","no"
"C00493",36,"blue-collar","married","2","no",0,"yes","no"
"C00494",55,"unemployed","married","3","no",5345,"no","no"
"C00495",30,"blue-collar","divorced","2","no",-209,"yes","no"
"C00498",50,"blue-collar","divorced","2","no",41,"yes","no"
"C00499",44,"blue-collar","married","2","no",-99,"yes","no"
"C00500",37,"technician","single","2","no",17,"yes","no"
"C00502",32,"technician","single","","no",-170,"no","no"
"C00503",37,"management","single","3","no",230,"yes","yes"
"C00506",45,"blue-collar","married","1","no",1297,"yes","no"
"C00508",48,"blue-collar","single","2","no",44,"yes","no"
"C00512",34,"admin.","married","2","no",507,"yes","no"
"C00514",41,"blue-collar","married","1","no",0,"yes","yes"
"C00515",50,"management","divorced","2","no",1716,"yes","no"
"C00523",52,"admin.","married","2","no",484,"yes","no"
"C00524",29,"management","single","3","no",0,"yes","no"
"C00531",44,"blue-collar","married","1","no",213,"no","no"
"C00535",52,"admin.","married","2","no",1236,"yes","no"
"C00537",48,"blue-collar","married","2","no",157,"yes","no"
"C00541",46,"blue-collar","married","2","no",71,"yes","no"
"C00542",49,"services","divorced","2","no",505,"yes","no"
"C00544",34,"admin.","single","2","no",0,"yes","no"
"C00545",40,"unemployed","single","2","no",11,"yes","no"
"C00549",36,"self-employed","married","3","no",107,"yes","no"
"C00550",56,"services","married","2","no",473,"yes","no"
"C00553",30,"student","single","3","no",34,"yes","no"
"C00555",33,"blue-collar","married","2","no",-10,"yes","no"
"C00556",36,"admin.","married","2","no",-106,"yes","no"
"C00567",38,"management","married","","no",1759,"yes","no"
"C00569",34,"blue-collar","married","2","no",0,"no","no"
"C00572",56,"blue-collar","married","2","no",1602,"yes","no"
"C00573",41,"blue-collar","single","1","yes",-137,"yes","yes"
"C00577",53,"entrepreneur","married","2","no",288,"no","no"
"C00581",39,"blue-collar","divorced","1","no",190,"yes","yes"
"C00585",37,"technician","married","1","no",0,"yes","no"
"C00590",37,"blue-collar","married","1","no",-325,"yes","yes"
"C00594",48,"retired","married","2","no",74,"no","yes"
"C00596",28,"services","divorced","2","no",89,"no","no"
"C00597",54,"services","married","2","yes",0,"yes","no"
"C00599",48,"technician","married","3","no",310,"no","no"
"C00603",37,"services","single","","no",-118,"yes","no"
"C00606",39,"blue-collar","married","2","no",285,"yes","yes"
"C00610",32,"services","married","2","no",243,"yes","yes"
"C00611",29,"technician","single","3","no",405,"yes","no"
"C00612",48,"management","divorced","3","no",1328,"yes","no"
"C00615",47,"technician","married","","no",2106,"yes","no"
"C00617",31,"blue-collar","single","3","no",60,"yes","yes"
"C00618",39,"blue-collar","married","1","no",2226,"yes","no"
"C00624",59,"retired","married","1","no",-119,"yes","no"
"C00625",30,"technician","married","2","no",484,"yes","no"
"C00633",42,"blue-collar","married","1","no",15,"yes","no"
"C00634",33,"services","married","3","no",85,"no","no"
"C00639",44,"services","divorced","2","no",1,"yes","no"
"C00640",35,"admin.","married","2","no",69,"yes","yes"
"C00644",42,"technician","single","2","no",0,"yes","no"
"C00653",44,"self-employed","divorced","3","no",4,"yes","no"
"C00656",33,"blue-collar","married","2","no",-349,"yes","no"
"C00659",29,"admin.","married","2","no",-150,"yes","no"
"C00664",34,"blue-collar","married","2","no",848,"yes","no"
"C00668",40,"technician","single","2","no",200,"yes","no"
"C00673",49,"self-employed","married","2","no",1,"yes","no"
"C00679",31,"management","single","2","no",783,"yes","no"
"C00681",46,"services","married","","no",80,"yes","no"
"C00685",42,"management","married","3","no",0,"yes","no"
"C00688",53,"admin.","married","2","no",244,"yes","yes"
"C00691",29,"student","single","2","no",948,"yes","no"
"C00696",44,"entrepreneur","married","3","no",1631,"yes","no"
"C00701",24,"services","single","2","no",77,"yes","yes"
"C00704",43,"services","divorced","2","no",0,"yes","no"
"C00705",43,"admin.","single","2","no",-497,"yes","no"
"C00711",31,"admin.","married","2","no",0,"yes","yes"
"C00717",53,"retired","married","2","no",303,"yes","no"
"C00720",38,"admin.","married","2","no",3047,"yes","no"
"C00721",54,"technician","divorced","2","no",83,"yes","no"
"C00722",58,"management","married","3","no",68,"yes","no"
"C00723",52,"blue-collar","married","1","no",58,"yes","no"
"C00724",28,"admin.","single","2","no",251,"yes","no"
"C00725",36,"blue-collar","married","2","no",688,"yes","no"
"C00730",51,"blue-collar","divorced","1","no",325,"yes","no"
"C00733",37,"blue-collar","married","2","no",183,"yes","no"
"C00734",34,"management","married","3","no",105,"yes","no"
"C00739",55,"retired","married","2","no",143,"yes","no"
"C00740",35,"management","single","3","no",550,"yes","no"
"C00741",57,"blue-collar","married","1","no",162,"yes","no"
"C00749",37,"blue-collar","single","2","no",88,"yes","no"
"C00754",55,"unemployed","married","3","no",383,"no","no"
"C00756",38,"housemaid","married","2","no",0,"yes","no"
"C00760",37,"technician","married","2","no",-421,"yes","no"
"C00761",33,"blue-collar","divorced","2","no",60,"no","no"
"C00763",57,"technician","married","2","no",402,"yes","no"
"C00764",30,"self-employed","single","3","no",800,"no","no"
"C00766",51,"blue-collar","divorced","2","no",421,"yes","no"
"C00767",44,"admin.","divorced","2","no",161,"yes","no"
"C00770",39,"blue-collar","married","1","no",245,"yes","no"
"C00771",42,"services","married","2","no",0,"yes","no"
"C00774",39,"admin.","married","2","no",20,"yes","no"
"C00775",55,"technician","single","3","no",92,"yes","no"
"C00776",46,"services","married","2","no",89,"yes","no"
"C00781",30,"admin.","married","2","no",4,"no","no"
"C00783",51,"services","divorced","2","no",-69,"yes","no"
"C00787",32,"technician","divorced","2","no",210,"yes","yes"
"C00789",29,"student","single","3","no",185,"yes","no"
"C00791",32,"blue-collar","single","2","no",301,"yes","no"
"C00795",46,"self-employed","married","3","no",2303,"yes","no"
"C00796",43,"management","married","3","no",144,"yes","no"
"C00799",30,"blue-collar","divorced","2","no",251,"yes","yes"
"C00810",57,"technician","married","2","no",197,"no","no"
"C00811",36,"blue-collar","married","2","no",-251,"yes","no"
"C00816",45,"blue-collar","married","1","no",97,"yes","no"
"C00832",42,"blue-collar","single","1","no",19,"yes","no"
"C00833",37,"blue-collar","married","2","no",16,"yes","no"
"C00836",44,"technician","divorced","2","no",-329,"yes","no"
"C00841",49,"blue-collar","married","2","no",64,"yes","no"
"C00844",39,"blue-collar","married","2","no",72,"yes","no"
"C00845",37,"services","single","2","no",-196,"yes","no"
"C00846",33,"blue-collar","married","1","no",716,"yes","no"
"C00849",56,"blue-collar","married","2","no",-203,"yes","no"
"C00852",29,"technician","single","3","no",3,"yes","no"
"C00853",54,"management","married","3","yes",-248,"yes","yes"
"C00854",38,"blue-collar","married","2","no",376,"yes","no"
"C00859",40,"blue-collar","married","2","no",563,"yes","no"
"C00861",33,"retired","married","2","no",165,"no","no"
"C00862",53,"admin.","divorced","","no",236,"yes","no"
"C00863",37,"services","married","1","no",52,"yes","no"
"C00866",35,"technician","married","2","no",118,"yes","no"
"C00867",49,"blue-collar","married","1","no",3659,"yes","no"
"C00870",52,"self-employed","married","2","no",273,"no","no"
"C00871",33,"services","divorced","2","no",327,"yes","no"
"C00874",35,"blue-collar","single","1","no",109,"yes","no"
"C00876",32,"blue-collar","divorced","1","no",473,"yes","no"
"C00877",37,"","single","","no",414,"yes","no"
"C00882",38,"blue-collar","married","2","no",266,"yes","no"
"C00885",37,"management","single","3","yes",45,"yes","no"
"C00888",40,"blue-collar","married","2","no",306,"yes","no"
"C00892",53,"services","divorced","1","no",-291,"yes","yes"
"C00893",31,"services","married","3","no",309,"yes","yes"
"C00898",38,"admin.","single","2","no",100,"yes","no"
"C00914",34,"admin.","divorced","2","no",627,"yes","no"
"C00915",57,"self-employed","married","1","no",1013,"yes","no"
"C00920",37,"unemployed","divorced","2","no",74,"yes","no"
"C00922",41,"technician","married","2","no",169,"yes","no"
"C00923",37,"self-employed","married","3","no",444,"yes","no"
"C00927",35,"services","married","2","no",39,"no","no"
"C00932",33,"blue-collar","married","2","no",0,"no","no"
"C00933",40,"blue-collar","married","2","yes",-94,"yes","yes"
"C00951",29,"management","married","2","no",147,"yes","yes"
"C00953",33,"blue-collar","married","1","no",198,"yes","no"
"C00954",37,"management","married","3","no",115,"no","no"
"C00957",28,"blue-collar","married","2","no",225,"yes","yes"
"C00967",49,"services","married","2","no",1496,"yes","no"
"C00968",29,"services","single","2","no",703,"yes","no"
"C00975",31,"unemployed","married","2","no",-825,"yes","no"
"C00977",60,"retired","married","2","no",42,"yes","yes"
"C00978",33,"management","single","3","no",54,"no","no"
"C00984",46,"admin.","divorced","2","no",207,"yes","no"
"C00985",51,"blue-collar","married","1","no",1466,"yes","no"
"C00988",42,"entrepreneur","married","3","no",157,"yes","yes"
"C00995",29,"blue-collar","married","2","no",313,"yes","yes"
"C01000",33,"technician","single","2","no",56,"no","no"
"C01001",47,"admin.","married","","no",0,"yes","no"
"C01005",44,"blue-collar","divorced","2","no",558,"yes","no"
"C01009",34,"blue-collar","married","1","no",267,"yes","no"
"C01010",53,"services","married","1","no",46,"yes","no"
"C01011",35,"blue-collar","married","1","no",624,"yes","no"
"C01014",39,"management","single","3","no",406,"yes","no"
"C01015",52,"services","divorced","2","no",220,"yes","no"
"C01016",34,"blue-collar","married","2","no",2308,"yes","no"
"C01017",37,"blue-collar","divorced","1","no",139,"yes","no"
"C01019",52,"entrepreneur","divorced","1","no",278,"yes","no"
"C01020",35,"blue-collar","married","1","no",229,"yes","no"
"C01021",36,"entrepreneur","married","3","no",1722,"yes","no"
"C01022",48,"technician","married","2","no",-500,"yes","no"
"C01026",39,"blue-collar","married","2","no",356,"yes","yes"
"C01027",40,"technician","married","1","no",164,"yes","no"
"C01032",44,"services","divorced","2","no",7,"yes","yes"
"C01034",39,"blue-collar","married","1","no",867,"yes","no"
"C01036",52,"blue-collar","divorced","1","no",196,"yes","no"
"C01040",50,"services","single","1","no",148,"yes","no"
"C01042",48,"admin.","married","2","no",359,"yes","no"
"C01043",29,"blue-collar","married","1","no",190,"no","no"
"C01046",34,"blue-collar","married","2","no",42,"yes","no"
"C01047",23,"management","single","3","no",2605,"yes","no"
"C01049",51,"management","married","1","no",98,"yes","no"
"C01052",41,"blue-collar","married","2","no",-15,"yes","no"
"C01054",50,"blue-collar","married","2","no",1557,"yes","no"
"C01063",30,"technician","divorced","3","no",-317,"yes","no"
"C01070",39,"management","single","","no",2887,"yes","no"
"C01073",29,"","single","1","no",50,"yes","no"
"C01074",39,"blue-collar","single","2","no",29,"yes","no"
"C01075",44,"blue-collar","married","1","no",420,"yes","no"
"C01078",27,"blue-collar","single","2","no",0,"yes","no"
"C01080",43,"technician","married","3","no",743,"yes","no"
"C01082",54,"technician","single","2","no",99,"yes","no"
"C01085",34,"blue-collar","married","2","no",615,"yes","no"
"C01096",43,"entrepreneur","married","1","no",526,"yes","no"
"C01097",59,"housemaid","divorced","","no",873,"yes","no"
"C01098",46,"admin.","married","1","no",40,"yes","no"
"C01101",30,"blue-collar","married","1","no",145,"yes","no"
"C01104",52,"technician","married","","no",133,"yes","no"
"C01108",43,"blue-collar","married","1","no",487,"yes","no"
"C01112",57,"technician","divorced","2","no",2710,"yes","yes"
"C01118",50,"blue-collar","divorced","1","no",149,"yes","no"
"C01123",41,"blue-collar","married","1","no",258,"yes","no"
"C01125",29,"management","married","3","no",199,"yes","yes"
"C01127",46,"technician","married","2","no",1571,"yes","no"
"C01132",48,"admin.","married","2","no",5,"yes","no"
"C01135",44,"blue-collar","married","2","no",1,"yes","no"
"C01138",36,"technician","divorced","2","no",141,"yes","no"
"C01139",37,"blue-collar","married","2","no",374,"yes","no"
"C01154",54,"technician","divorced","2","no",1904,"yes","yes"
"C01156",38,"unemployed","married","1","no",447,"yes","no"
"C01157",48,"technician","married","2","no",720,"yes","no"
"C01158",31,"blue-collar","married","3","no",2827,"yes","no"
"C01160",29,"admin.","single","2","no",1117,"yes","no"
"C01166",32,"management","single","3","no",111,"yes","no"
"C01169",34,"management","married","1","no",6,"yes","no"
"C01170",34,"blue-collar","single","2","yes",-947,"yes","no"
"C01176",39,"blue-collar","married","2","no",125,"yes","no"
"C01180",42,"technician","married","2","no",420,"yes","no"
"C01181",27,"services","divorced","2","no",96,"yes","no"
"C01184",38,"blue-collar","married","1","no",54,"yes","no"
"C01185",42,"entrepreneur","married","1","no",198,"yes","no"
"C01186",35,"self-employed","married","1","no",1094,"yes","no"
"C01187",41,"management","married","3","no",141,"yes","yes"
"C01188",57,"retired","married","1","no",207,"yes","no"
"C01194",35,"management","divorced","3","no",3837,"yes","no"
"C01196",36,"admin.","single","2","no",206,"yes","no"
"C01200",43,"blue-collar","married","2","yes",-7,"no","no"
"C01206",26,"technician","single","2","no",2087,"no","no"
"C01214",31,"management","single","3","no",7444,"yes","yes"
"C01215",30,"management","single","3","no",59,"yes","yes"
"C01218",32,"blue-collar","single","2","no",5,"yes","yes"
"C01220",48,"admin.","single","2","no",96,"yes","no"
"C01224",26,"blue-collar","married","2","yes",20,"yes","no"
"C01235",31,"self-employed","married","3","no",322,"yes","no"
"C01236",37,"blue-collar","single","2","no",134,"yes","no"
"C01249",44,"blue-collar","married","1","no",185,"yes","no"
"C01253",43,"blue-collar","married","2","no",0,"yes","no"
"C01256",43,"services","divorced","2","no",130,"yes","no"
"C01257",38,"services","married","2","no",507,"yes","no"
"C01258",35,"self-employed","married","3","no",844,"yes","no"
"C01261",60,"retired","married","1","no",-2,"yes","no"
"C01262",33,"technician","single","3","no",129,"yes","no"
"C01263",33,"services","divorced","2","no",411,"yes","no"
"C01266",34,"blue-collar","married","2","no",80,"yes","yes"
"C01267",32,"technician","single","2","no",10,"yes","no"
"C01268",36,"admin.","married","2","no",114,"yes","yes"
"C01270",57,"management","married","3","no",1341,"yes","no"
"C01273",30,"management","single","3","no",5956,"yes","no"
"C01282",39,"blue-collar","married","1","no",481,"yes","no"
"C01299",38,"technician","married","3","no",1161,"yes","no"
"C01300",24,"technician","single","3","no",777,"yes","no"
"C01302",28,"technician","married","1","no",-58,"yes","no"
"C01306",40,"technician","married","2","no",697,"yes","no"
"C01307",54,"services","married","2","no",841,"yes","no"
"C01310",32,"management","single","3","no",751,"yes","no"
"C01311",36,"blue-collar","married","1","no",250,"yes","no"
"C01312",35,"technician","single","2","no",365,"yes","no"
"C01313",31,"management","single","3","no",1315,"yes","no"
"C01320",37,"blue-collar","married","2","no",105,"yes","no"
"C01321",31,"services","married","2","no",432,"yes","no"
"C01328",37,"services","married","2","no",237,"yes","no"
"C01336",52,"management","single","3","yes",0,"no","no"
"C01356",33,"entrepreneur","married","2","no",0,"yes","yes"
"C01358",43,"blue-collar","married","1","no",-77,"yes","no"
"C01360",34,"blue-collar","single","2","no",341,"yes","no"
"C01361",37,"services","married","2","no",50,"yes","no"
"C01362",41,"services","married","2","no",205,"yes","no"
"C01364",37,"technician","single","3","no",31,"yes","no"
"C01367",51,"blue-collar","married","1","no",0,"no","no"
"C01370",33,"services","married","2","no",-232,"yes","no"
"C01371",28,"admin.","divorced","2","no",785,"yes","no"
"C01376",34,"technician","single","3","no",301,"yes","no"
"C01383",28,"management","single","3","no",150,"yes","no"
"C01386",33,"housemaid","married","1","no",1713,"yes","no"
"C01387",37,"admin.","married","1","no",242,"yes","no"
"C01391",28,"management","single","3","no",21,"yes","no"
"C01393",40,"blue-collar","married","1","no",640,"yes","yes"
"C01396",44,"services","divorced","2","no",240,"yes","no"
"C01399",35,"blue-collar","married","2","no",-339,"yes","no"
"C01405",30,"blue-collar","married","1","no",4,"yes","no"
"C01409",38,"technician","married","","no",90,"yes","yes"
"C01410",31,"blue-collar","married","1","no",406,"yes","no"
"C01411",29,"services","single","2","no",2,"no","no"
"C01412",34,"services","married","2","no",2211,"no","no"
"C01418",32,"blue-collar","married","2","no",1,"yes","no"
"C01421",40,"technician","married","","no",698,"yes","no"
"C01422",34,"management","married","3","no",1601,"yes","no"
"C01424",53,"blue-collar","divorced","1","no",255,"yes","no"
"C01428",60,"technician","married","","no",0,"yes","no"
"C01432",44,"blue-collar","married","1","no",753,"yes","no"
"C01433",38,"blue-collar","single","1","no",162,"yes","no"
"C01435",34,"blue-collar","married","2","no",199,"yes","no"
"C01436",36,"services","divorced","2","no",241,"yes","no"
"C01444",48,"admin.","divorced","2","no",267,"no","no"
"C01445",32,"blue-collar","married","1","no",289,"yes","no"
"C01446",58,"self-employed","divorced","2","no",613,"yes","no"
"C01449",29,"management","divorced","3","no",607,"yes","yes"
"C01453",50,"blue-collar","divorced","1","no",134,"no","no"
"C01459",35,"blue-collar","single","1","no",398,"yes","no"
"C01466",37,"blue-collar","married","2","no",121,"yes","no"
"C01468",57,"blue-collar","divorced","1","no",-176,"yes","no"
"C01472",51,"management","married","3","no",751,"no","no"
"C01473",38,"blue-collar","single","","no",495,"yes","no"
"C01477",41,"management","divorced","3","no",292,"yes","no"
"C01478",33,"technician","married","","no",0,"no","no"
"C01480",30,"services","married","2","no",80,"yes","no"
"C01482",30,"blue-collar","married","2","no",2850,"no","no"
"C01483",37,"blue-collar","divorced","2","no",48,"yes","no"
"C01489",50,"blue-collar","married","1","no",1164,"yes","no"
"C01490",34,"blue-collar","married","2","no",129,"yes","no"
"C01491",38,"services","divorced","2","no",5873,"no","no"
"C01499",39,"blue-collar","married","1","no",830,"yes","no"
"C01506",36,"blue-collar","married","","no",70,"yes","no"
"C01511",38,"management","single","3","no",0,"yes","no"
"C01513",33,"unemployed","married","2","no",229,"yes","no"
"C01514",37,"services","married","2","no",22,"yes","yes"
"C01516",33,"blue-collar","single","2","no",56,"yes","no"
"C01517",40,"admin.","single","2","no",118,"yes","no"
"C01518",27,"blue-collar","married","2","no",106,"yes","no"
"C01524",31,"blue-collar","married","1","no",50,"yes","no"
"C01525",34,"blue-collar","married","2","no",67,"yes","yes"
"C01530",27,"technician","single","2","no",584,"yes","no"
"C01534",50,"technician","single","3","no",0,"yes","no"
"C01536",48,"blue-collar","married","1","no",2642,"yes","no"
"C01538",29,"housemaid","single","2","no",718,"yes","no"
"C01540",39,"blue-collar","married","1","no",332,"yes","no"
"C01541",32,"management","divorced","3","no",1,"yes","no"
"C01542",59,"retired","divorced","1","no",-138,"yes","yes"
"C01544",37,"admin.","married","2","no",14,"yes","no"
"C01545",33,"unemployed","single","2","no",177,"no","no"
"C01550",50,"services","single","2","no",72,"no","no"
"C01559",39,"management","married","3","no",429,"yes","no"
"C01563",53,"self-employed","married","2","no",468,"yes","no"
"C01566",31,"unemployed","married","1","no",309,"yes","no"
"C01568",32,"blue-collar","married","2","no",20,"yes","yes"
"C01569",52,"blue-collar","married","2","no",-17,"yes","no"
"C01571",30,"management","single","3","no",528,"yes","no"
"C01574",38,"blue-collar","married","2","no",468,"yes","no"
"C01575",44,"blue-collar","married","2","no",138,"yes","no"
"C01582",34,"blue-collar","married","1","no",298,"yes","no"
"C01583",41,"blue-collar","single","2","no",1080,"yes","yes"
"C01584",39,"management","single","3","no",-85,"yes","no"
"C01590",35,"management","married","3","yes",89,"no","yes"
"C01592",53,"blue-collar","divorced","2","no",145,"yes","no"
"C01593",29,"blue-collar","single","2","no",-138,"yes","yes"
"C01595",35,"management","married","3","no",820,"yes","no"
"C01600",33,"services","married","2","no",310,"yes","no"
"C01601",60,"blue-collar","married","1","no",136,"yes","no"
"C01602",45,"admin.","married","2","no",310,"yes","no"
"C01603",39,"blue-collar","married","1","no",813,"yes","no"
"C01606",40,"services","married","1","no",332,"yes","no"
"C01607",33,"services","married","2","no",5034,"yes","no"
"C01608",32,"admin.","divorced","2","no",281,"yes","no"
"C01614",47,"admin.","divorced","2","no",162,"yes","no"
"C01615",34,"blue-collar","married","1","no",365,"yes","no"
"C01617",32,"admin.","single","3","no",490,"yes","no"
"C01625",51,"blue-collar","single","1","no",368,"yes","no"
"C01626",47,"blue-collar","married","2","no",-98,"yes","no"
"C01628",45,"admin.","married","2","no",180,"yes","no"
"C01631",53,"entrepreneur","married","2","no",-118,"yes","no"
"C01634",47,"services","married","2","no",1306,"yes","no"
"C01639",27,"admin.","single","","no",230,"yes","no"
"C01643",35,"management","married","3","no",4286,"yes","no"
"C01644",29,"blue-collar","married","2","no",0,"no","no"
"C01645",33,"blue-collar","divorced","1","no",60,"no","no"
