cid,contact,day,month,duration,campaign,pdays,previous,poutcome,y
C00844,,7,may,425,6,-1,0,,no
C00845,,7,may,207,1,-1,0,,no
C00846,,7,may,83,3,-1,0,,no
C00849,,7,may,139,1,-1,0,,no
C00852,,7,may,359,1,-1,0,,no
C00853,,7,may,112,1,-1,0,,no
C00854,,7,may,1521,1,-1,0,,no
C00859,,7,may,615,1,-1,0,,no
C00861,,7,may,111,1,-1,0,,no
C00862,,7,may,354,1,-1,0,,no
C00863,,7,may,359,1,-1,0,,no
C00866,,7,may,236,1,-1,0,,no
C00867,,7,may,160,1,-1,0,,no
C00870,,7,may,227,1,-1,0,,no
C00871,,7,may,109,1,-1,0,,no
C00874,,7,may,83,2,-1,0,,no
C00876,,7,may,204,2,-1,0,,no
C00877,,7,may,131,1,-1,0,,no
C00882,,7,may,287,1,-1,0,,no
C00885,,7,may,204,1,-1,0,,no
C00888,,7,may,184,2,-1,0,,no
C00892,,7,may,591,1,-1,0,,yes
C00893,,7,may,294,1,-1,0,,no
C00898,,7,may,786,1,-1,0,,yes
C00914,,7,may,283,2,-1,0,,no
C00915,,7,may,448,1,-1,0,,no
C00920,,7,may,150,1,-1,0,,no
C00922,,7,may,296,2,-1,0,,no
C00923,,7,may,401,2,-1,0,,no
C00927,,7,may,143,1,-1,0,,no
C00932,,7,may,107,1,-1,0,,no
C00933,,7,may,227,1,-1,0,,no
C00951,,7,may,376,2,-1,0,,no
C00953,,7,may,121,2,-1,0,,no
C00954,,7,may,36,1,-1,0,,no
C00957,,7,may,866,2,-1,0,,no
C00967,,7,may,218,4,-1,0,,no
C00968,,7,may,129,5,-1,0,,no
C00975,,7,may,179,2,-1,0,,no
C00977,,7,may,386,2,-1,0,,no
C00978,,7,may,262,2,-1,0,,no
C00984,,7,may,485,4,-1,0,,no
C00985,,7,may,406,2,-1,0,,no
C00988,,7,may,650,1,-1,0,,no
C00995,,7,may,144,1,-1,0,,no
C01000,,7,may,236,2,-1,0,,no
C01001,,7,may,164,1,-1,0,,no
C01005,,7,may,485,1,-1,0,,no
C01009,,7,may,362,1,-1,0,,no
C01010,,7,may,274,1,-1,0,,no
C01011,,7,may,163,1,-1,0,,no
C01014,,7,may,68,1,-1,0,,no
C01015,,7,may,143,3,-1,0,,no
C01016,,7,may,1062,1,-1,0,,no
C01017,,7,may,71,1,-1,0,,no
C01019,,7,may,688,2,-1,0,,no
C01020,,7,may,103,3,-1,0,,no
C01021,,7,may,349,2,-1,0,,no
C01022,,7,may,78,5,-1,0,,no
C01026,,7,may,607,1,-1,0,,no
C01027,,7,may,398,1,-1,0,,no
C01032,,7,may,238,3,-1,0,,no
C01034,,7,may,481,1,-1,0,,no
C01036,,7,may,119,3,-1,0,,no
C01040,,7,may,198,2,-1,0,,no
C01042,,7,may,374,1,-1,0,,no
C01043,,7,may,51,1,-1,0,,no
C01046,,7,may,154,2,-1,0,,no
C01047,,7,may,278,6,-1,0,,no
C01049,,7,may,114,2,-1,0,,no
C01052,,7,may,169,2,-1,0,,no
C01054,,7,may,263,6,-1,0,,no
C01063,,7,may,381,2,-1,0,,no
C01070,,7,may,42,2,-1,0,,no
C01073,,7,may,50,2,-1,0,,no
C01074,,7,may,214,2,-1,0,,no
C01075,,7,may,110,2,-1,0,,no
C01078,,7,may,191,4,-1,0,,no
C01080,,7,may,134,2,-1,0,,no
C01082,,7,may,283,3,-1,0,,no
C01085,,7,may,225,2,-1,0,,no
C01096,,7,may,79,4,-1,0,,no
C01097,,7,may,152,3,-1,0,,no
C01098,,7,may,591,3,-1,0,,no
C01101,,7,may,299,2,-1,0,,no
C01104,,7,may,253,8,-1,0,,no
C01108,,7,may,548,2,-1,0,,no
C01112,,7,may,333,1,-1,0,,no
C01118,,7,may,74,1,-1,0,,no
C01123,,7,may,252,1,-1,0,,no
C01125,,7,may,1689,4,-1,0,,yes
C01127,,7,may,489,2,-1,0,,no
C01132,,7,may,697,2,-1,0,,no
C01135,,7,may,281,2,-1,0,,no
C01138,,7,may,319,3,-1,0,,no
C01139,,7,may,944,3,-1,0,,no
C01154,,7,may,280,3,-1,0,,no
C01156,,7,may,365,4,-1,0,,no
C01157,,8,may,177,3,-1,0,,no
C01158,,8,may,238,3,-1,0,,no
C01160,,8,may,77,2,-1,0,,no
C01166,,8,may,162,2,-1,0,,no
C01169,,8,may,125,3,-1,0,,no
C01170,,8,may,211,3,-1,0,,no
C01176,,8,may,142,1,-1,0,,no
C01180,,8,may,94,1,-1,0,,no
C01181,,8,may,31,1,-1,0,,no
C01184,,8,may,180,1,-1,0,,no
C01185,,8,may,314,1,-1,0,,no
C01186,,8,may,207,1,-1,0,,no
C01187,,8,may,146,3,-1,0,,no
C01188,,8,may,193,1,-1,0,,no
C01194,,8,may,1084,1,-1,0,,yes
C01196,,8,may,183,1,-1,0,,no
C01200,,8,may,70,1,-1,0,,no
C01206,,8,may,151,1,-1,0,,no
C01214,,8,may,20,1,-1,0,,no
C01215,,8,may,202,1,-1,0,,no
C01218,,8,may,134,1,-1,0,,no
C01220,,8,may,255,1,-1,0,,no
C01224,,8,may,200,1,-1,0,,no
C01235,,8,may,159,1,-1,0,,no
C01236,,8,may,200,1,-1,0,,no
C01249,,8,may,249,1,-1,0,,no
C01253,,8,may,187,1,-1,0,,no
C01256,,8,may,193,1,-1,0,,no
C01257,,8,may,95,1,-1,0,,no
C01258,,8,may,60,1,-1,0,,no
C01261,,8,may,75,1,-1,0,,no
C01262,,8,may,128,1,-1,0,,no
C01263,,8,may,216,1,-1,0,,no
C01266,,8,may,494,1,-1,0,,no
C01267,,8,may,107,1,-1,0,,no
C01268,,8,may,147,1,-1,0,,no
C01270,,8,may,339,2,-1,0,,no
C01273,,8,may,255,1,-1,0,,no
C01282,,8,may,204,1,-1,0,,no
C01299,,8,may,665,1,-1,0,,no
C01300,,8,may,131,1,-1,0,,no
C01302,,8,may,74,1,-1,0,,no
C01306,,8,may,111,1,-1,0,,no
C01307,,8,may,284,4,-1,0,,no
C01310,,8,may,64,1,-1,0,,no
C01311,,8,may,149,1,-1,0,,no
C01312,,8,may,256,2,-1,0,,no
C01313,,8,may,156,1,-1,0,,no
C01320,,8,may,69,2,-1,0,,no
C01321,,8,may,446,1,-1,0,,no
C01328,,8,may,175,1,-1,0,,no
C01336,,8,may,98,1,-1,0,,no
C01356,,8,may,982,1,-1,0,,no
C01358,,8,may,468,1,-1,0,,no
C01360,,8,may,195,1,-1,0,,no
C01361,,8,may,352,3,-1,0,,no
C01362,,8,may,91,1,-1,0,,no
C01364,,8,may,72,1,-1,0,,no
C01367,,8,may,384,1,-1,0,,no
C01370,,8,may,208,1,-1,0,,no
C01371,,8,may,442,2,-1,0,,yes
C01376,,8,may,205,1,-1,0,,no
C01383,,8,may,491,1,-1,0,,no
C01386,,8,may,22,1,-1,0,,no
C01387,,8,may,161,8,-1,0,,no
C01391,,8,may,219,3,-1,0,,no
C01393,,8,may,347,2,-1,0,,no
C01396,,8,may,155,2,-1,0,,no
C01399,,8,may,389,2,-1,0,,no
C01405,,8,may,32,2,-1,0,,no
C01409,,8,may,20,2,-1,0,,no
C01410,,8,may,31,1,-1,0,,no
C01411,,8,may,190,1,-1,0,,no
C01412,,8,may,149,1,-1,0,,no
C01418,,8,may,102,1,-1,0,,no
C01421,,8,may,223,2,-1,0,,no
C01422,,8,may,650,2,-1,0,,no
C01424,,8,may,206,2,-1,0,,no
C01428,,8,may,77,1,-1,0,,no
C01432,,8,may,151,2,-1,0,,no
C01433,,8,may,200,2,-1,0,,no
C01435,,8,may,627,3,-1,0,,no
C01436,,8,may,133,1,-1,0,,no
C01444,,8,may,266,1,-1,0,,no
C01445,,8,may,23,4,-1,0,,no
C01446,,8,may,154,2,-1,0,,no
C01449,,8,may,240,3,-1,0,,no
C01453,,8,may,263,2,-1,0,,no
C01459,,8,may,34,1,-1,0,,no
C01466,,8,may,617,2,-1,0,,no
C01468,,8,may,275,1,-1,0,,no
C01472,,8,may,261,5,-1,0,,no
C01473,,8,may,297,1,-1,0,,no
C01477,,8,may,352,2,-1,0,,no
C01478,,8,may,345,2,-1,0,,no
C01480,,8,may,185,2,-1,0,,no
C01482,,8,may,181,2,-1,0,,no
C01483,,8,may,133,2,-1,0,,no
C01489,,8,may,166,2,-1,0,,no
C01490,,8,may,71,2,-1,0,,no
C01491,,8,may,191,2,-1,0,,no
C01499,,8,may,246,2,-1,0,,no
C01506,,8,may,219,4,-1,0,,no
C01511,,8,may,92,3,-1,0,,no
C01513,,8,may,205,4,-1,0,,no
C01514,,8,may,160,1,-1,0,,no
C01516,,8,may,112,2,-1,0,,no
C01517,,8,may,383,3,-1,0,,no
C01518,,8,may,207,2,-1,0,,no
C01524,,8,may,300,2,-1,0,,no
C01525,,8,may,672,3,-1,0,,no
C01530,,8,may,192,2,-1,0,,no
C01534,,8,may,393,2,-1,0,,no
C01536,,8,may,330,3,-1,0,,no
C01538,,8,may,91,3,-1,0,,no
C01540,,8,may,277,3,-1,0,,no
C01541,,8,may,399,4,-1,0,,no
C01542,,8,may,89,4,-1,0,,no
C01544,,8,may,176,2,-1,0,,no
C01545,,8,may,75,4,-1,0,,no
C01550,,8,may,141,2,-1,0,,no
C01559,,8,may,272,4,-1,0,,no
C01563,,8,may,89,5,-1,0,,no
C01566,,8,may,104,3,-1,0,,no
C01568,,8,may,117,3,-1,0,,no
C01569,,8,may,37,3,-1,0,,no
C01571,,8,may,145,4,-1,0,,no
C01574,,8,may,101,2,-1,0,,no
C01575,,8,may,283,3,-1,0,,no
C01582,,8,may,220,2,-1,0,,no
C01583,,8,may,192,4,-1,0,,no
C01584,,8,may,423,2,-1,0,,no
C01590,,8,may,166,3,-1,0,,no
C01592,,8,may,193,1,-1,0,,no
C01593,,8,may,271,5,-1,0,,no
C01595,,8,may,287,4,-1,0,,no
C01600,,8,may,172,4,-1,0,,no
C01601,,8,may,43,2,-1,0,,no
C01602,,8,may,191,2,-1,0,,no
C01603,,8,may,117,2,-1,0,,no
C01606,,8,may,149,1,-1,0,,no
C01607,,8,may,207,3,-1,0,,no
C01608,,8,may,231,4,-1,0,,no
C01614,,9,may,203,4,-1,0,,no
C01615,,9,may,85,2,-1,0,,no
C01617,,9,may,94,2,-1,0,,no
C01625,,9,may,205,1,-1,0,,no
C01626,,9,may,112,1,-1,0,,no
C01628,,9,may,218,1,-1,0,,no
C01631,,9,may,101,3,-1,0,,no
C01634,,9,may,252,4,-1,0,,no
C01639,,9,may,371,1,-1,0,,no
C01643,,9,may,357,1,-1,0,,no
C01644,,9,may,215,1,-1,0,,no
C01645,,9,may,131,1,-1,0,,no
C01654,,9,may,244,1,-1,0,,no
C01655,,9,may,128,1,-1,0,,no
C01657,,9,may,59,1,-1,0,,no
C01663,,9,may,659,2,-1,0,,no
C01673,,9,may,198,1,-1,0,,no
C01678,,9,may,93,1,-1,0,,no
C01685,,9,may,165,1,-1,0,,no
C01693,,9,may,131,3,-1,0,,no
C01698,,9,may,117,1,-1,0,,no
C01701,,9,may,18,1,-1,0,,no
C01703,,9,may,138,1,-1,0,,no
C01705,,9,may,339,2,-1,0,,no
C01707,,9,may,208,1,-1,0,,no
C01710,,9,may,75,1,-1,0,,no
C01716,,9,may,121,4,-1,0,,no
C01717,,9,may,93,2,-1,0,,no
C01722,,9,may,144,3,-1,0,,no
C01723,,9,may,45,2,-1,0,,no
C01729,,9,may,92,2,-1,0,,no
C01733,,9,may,249,3,-1,0,,no
C01735,,9,may,484,1,-1,0,,no
C01736,,9,may,187,1,-1,0,,no
C01737,,9,may,172,1,-1,0,,no
C01742,,9,may,393,1,-1,0,,no
C01749,,9,may,164,1,-1,0,,no
C01757,,9,may,137,1,-1,0,,no
C01758,,9,may,545,2,-1,0,,no
C01760,,9,may,168,2,-1,0,,no
C01763,,9,may,115,1,-1,0,,no
C01764,,9,may,646,1,-1,0,,no
C01769,,9,may,122,1,-1,0,,no
C01772,,9,may,208,3,-1,0,,no
C01776,,9,may,178,2,-1,0,,no
C01778,,9,may,206,2,-1,0,,no
C01789,,9,may,230,2,-1,0,,no
C01792,,9,may,261,1,-1,0,,no
C01799,,9,may,145,2,-1,0,,no
C01801,,9,may,106,1,-1,0,,no
C01803,,9,may,190,1,-1,0,,no
C01807,,9,may,654,1,-1,0,,yes
C01809,,9,may,70,1,-1,0,,no
C01817,,9,may,150,2,-1,0,,no
C01820,,9,may,57,2,-1,0,,no
C01823,,9,may,342,1,-1,0,,no
C01826,,9,may,530,2,-1,0,,no
C01829,,9,may,352,1,-1,0,,no
C01836,,9,may,73,1,-1,0,,no
C01840,,9,may,404,2,-1,0,,no
C01842,,9,may,109,1,-1,0,,no
C01843,,9,may,134,1,-1,0,,no
C01847,,9,may,20,1,-1,0,,no
C01859,,9,may,344,2,-1,0,,no
C01860,,9,may,282,2,-1,0,,no
C01861,,9,may,1170,1,-1,0,,no
C01862,,9,may,408,2,-1,0,,no
C01863,,9,may,128,2,-1,0,,no
C01864,,9,may,665,2,-1,0,,yes
C01865,,9,may,67,3,-1,0,,no
C01867,,9,may,395,1,-1,0,,no
C01872,,9,may,174,1,-1,0,,no
C01873,,9,may,195,1,-1,0,,no
C01874,,9,may,412,1,-1,0,,no
C01875,,9,may,127,1,-1,0,,no
C01877,,9,may,61,1,-1,0,,no
C01880,,9,may,53,4,-1,0,,no
C01882,,9,may,409,3,-1,0,,no
C01886,,9,may,1713,1,-1,0,,no
C01887,,9,may,241,2,-1,0,,no
C01889,,9,may,338,3,-1,0,,no
C01893,,9,may,296,2,-1,0,,no
C01894,,9,may,551,2,-1,0,,no
C01898,,9,may,188,2,-1,0,,no
C01900,,9,may,1080,5,-1,0,,no
C01901,,9,may,1461,2,-1,0,,no
C01905,,9,may,262,1,-1,0,,no
C01912,,9,may,455,1,-1,0,,no
C01915,,9,may,345,9,-1,0,,no
C01919,,9,may,202,2,-1,0,,no
C01920,,9,may,81,6,-1,0,,no
C01926,,9,may,400,2,-1,0,,no
C01931,,9,may,94,3,-1,0,,no
C01938,,9,may,184,2,-1,0,,no
C01940,,9,may,330,4,-1,0,,no
C01942,,9,may,83,4,-1,0,,no
C01943,,9,may,25,6,-1,0,,no
C01952,,9,may,393,2,-1,0,,no
C01953,,9,may,1178,4,-1,0,,no
C01961,,9,may,245,4,-1,0,,no
C01970,,9,may,162,2,-1,0,,no
C01975,,9,may,47,5,-1,0,,no
C01976,,9,may,752,3,-1,0,,no
C01977,,9,may,116,3,-1,0,,no
C01981,,9,may,260,4,-1,0,,no
C01984,,9,may,389,2,-1,0,,no
C01989,,9,may,117,2,-1,0,,no
C01991,,9,may,244,4,-1,0,,no
C01993,,9,may,162,2,-1,0,,no
C01997,,9,may,71,3,-1,0,,no
C02001,,9,may,86,4,-1,0,,no
C02007,,9,may,176,2,-1,0,,no
C02010,,9,may,338,4,-1,0,,no
C02013,,9,may,64,4,-1,0,,no
C02016,,9,may,210,3,-1,0,,no
C02018,,9,may,328,7,-1,0,,no
C02019,,9,may,164,8,-1,0,,no
C02026,,9,may,257,3,-1,0,,no
C02027,,9,may,213,4,-1,0,,no
C02028,,9,may,173,2,-1,0,,no
C02031,,9,may,102,3,-1,0,,no
C02032,,9,may,35,3,-1,0,,no
C02034,,9,may,834,9,-1,0,,no
C02041,,12,may,33,4,-1,0,,no
C02042,,12,may,144,6,-1,0,,no
C02049,,12,may,148,2,-1,0,,no
C02053,,12,may,181,4,-1,0,,no
C02055,,12,may,129,2,-1,0,,no
C02068,,12,may,88,5,-1,0,,no
C02072,,12,may,29,8,-1,0,,no
C02073,,12,may,59,4,-1,0,,no
C02074,,12,may,247,3,-1,0,,no
C02079,,12,may,396,3,-1,0,,no
C02081,,12,may,400,3,-1,0,,no
C02082,,12,may,282,4,-1,0,,no
C02084,,12,may,252,4,-1,0,,no
C02085,,12,may,76,3,-1,0,,no
C02088,,12,may,127,2,-1,0,,no
C02090,,12,may,71,2,-1,0,,no
C02091,,12,may,109,2,-1,0,,no
C02094,,12,may,409,2,-1,0,,no
C02096,,12,may,177,4,-1,0,,no
C02097,,12,may,757,2,-1,0,,yes
C02105,,12,may,185,1,-1,0,,no
C02108,,12,may,172,2,-1,0,,no
C02117,,12,may,102,1,-1,0,,no
C02119,,12,may,53,1,-1,0,,no
C02125,,12,may,151,1,-1,0,,no
C02131,,12,may,1147,2,-1,0,,no
C02132,,12,may,209,1,-1,0,,no
C02135,,12,may,170,2,-1,0,,no
C02136,,12,may,539,1,-1,0,,no
C02137,,12,may,66,3,-1,0,,no
C02143,,12,may,64,1,-1,0,,no
C02149,,12,may,194,2,-1,0,,no
C02155,,12,may,101,2,-1,0,,no
C02157,,12,may,290,6,-1,0,,no
C02163,,12,may,480,1,-1,0,,no
C02164,,12,may,169,2,-1,0,,no
C02172,,12,may,315,1,-1,0,,no
C02183,,12,may,188,1,-1,0,,no
C02185,,12,may,457,4,-1,0,,no
C02187,,12,may,53,1,-1,0,,no
C02188,,12,may,446,1,-1,0,,no
C02191,,12,may,1083,2,-1,0,,no
C02192,,12,may,123,2,-1,0,,no
C02196,,12,may,178,2,-1,0,,no
C02199,,12,may,154,2,-1,0,,no
C02200,,12,may,163,4,-1,0,,no
