기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019.2/4	영등포구	등록외국인	35,212	1,205	970	552	353	814	1,727	3,407	2,959	2,833	4,326	5,589	6,816	2,726	600	168	72	50	24	14	6	1
2019.2/4	동작구	계	412,000	13,403	14,436	13,615	17,198	32,156	39,547	33,380	34,166	29,693	32,872	30,725	32,075	27,725	19,697	16,179	12,542	7,370	3,304	1,266	369	282
2019.2/4	동작구	한국인	398,885	13,169	14,242	13,526	16,718	29,011	37,824	32,238	33,398	29,014	31,965	29,473	30,469	27,074	19,540	16,141	12,522	7,351	3,297	1,265	369	279
2019.2/4	동작구	등록외국인	13,115	234	194	89	480	3,145	1,723	1,142	768	679	907	1,252	1,606	651	157	38	20	19	7	1	-	3
2019.2/4	관악구	계	519,864	13,023	13,902	13,710	18,529	42,033	68,622	50,255	43,230	34,962	39,504	36,666	38,321	33,414	24,678	20,113	15,531	8,228	3,279	1,214	345	305
2019.2/4	관악구	한국인	502,089	12,476	13,491	13,489	18,311	40,787	66,481	48,198	41,730	33,761	37,835	34,457	35,559	32,233	24,418	20,029	15,504	8,206	3,267	1,208	344	305
2019.2/4	관악구	등록외국인	17,775	547	411	221	218	1,246	2,141	2,057	1,500	1,201	1,669	2,209	2,762	1,181	260	84	27	22	12	6	1	-
2019.2/4	서초구	계	435,631	15,296	21,625	22,476	23,704	26,199	31,408	31,553	37,648	37,420	42,535	33,393	29,601	26,920	19,180	15,466	10,419	6,037	2,826	1,314	417	194
2019.2/4	서초구	한국인	431,360	15,168	21,448	22,329	23,594	25,973	30,915	30,909	37,064	36,909	42,118	33,070	29,306	26,804	19,128	15,445	10,408	6,027	2,824	1,311	417	193
2019.2/4	서초구	등록외국인	4,271	128	177	147	110	226	493	644	584	511	417	323	295	116	52	21	11	10	2	3	-	1
2019.2/4	강남구	계	547,602	15,851	23,216	27,578	32,549	35,106	42,728	41,228	46,977	46,190	54,035	43,272	36,868	32,993	24,180	19,100	12,618	7,114	3,638	1,609	496	256
2019.2/4	강남구	한국인	542,498	15,780	23,143	27,523	32,450	34,686	41,763	40,232	46,339	45,716	53,660	42,945	36,557	32,826	24,111	19,065	12,602	7,107	3,636	1,606	496	255
2019.2/4	강남구	등록외국인	5,104	71	73	55	99	420	965	996	638	474	375	327	311	167	69	35	16	7	2	3	-	1
2019.2/4	송파구	계	686,181	25,750	29,412	29,035	33,975	43,090	54,806	55,886	62,086	53,587	59,031	53,633	53,663	47,487	31,959	22,485	14,839	8,580	4,350	1,763	498	266
2019.2/4	송파구	한국인	679,247	25,551	29,220	28,941	33,905	42,744	54,123	54,940	61,272	53,007	58,311	52,798	52,756	47,106	31,861	22,446	14,822	8,572	4,346	1,762	498	266
2019.2/4	송파구	등록외국인	6,934	199	192	94	70	346	683	946	814	580	720	835	907	381	98	39	17	8	4	1	-	-
2019.2/4	강동구	계	428,547	14,192	16,986	17,352	20,870	26,529	31,892	30,267	36,108	32,426	36,537	34,701	36,917	33,113	22,459	16,182	10,911	6,186	3,035	1,313	353	218
2019.2/4	강동구	한국인	424,235	14,068	16,882	17,303	20,820	26,328	31,475	29,761	35,666	32,039	36,043	34,170	36,267	32,864	22,391	16,162	10,899	6,182	3,033	1,312	353	217
2019.2/4	강동구	등록외국인	4,312	124	104	49	50	201	417	506	442	387	494	531	650	249	68	20	12	4	2	1	-	1
