depth,categoryid,categoryname,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2,613,데이터분석·리포트,6,613.0,,IT·프로그래밍,데이터분석·리포트,
2,614,QA·테스트,6,614.0,,IT·프로그래밍,QA·테스트,
2,617,챗봇,6,617.0,,IT·프로그래밍,챗봇,
2,618,게임,6,618.0,,IT·프로그래밍,게임,
2,706,더빙·녹음,7,706.0,,콘텐츠 제작,더빙·녹음,
2,715,영상,7,715.0,,콘텐츠 제작,영상,
2,718,음악·사운드,7,718.0,,콘텐츠 제작,음악·사운드,
2,721,기타,7,721.0,,콘텐츠 제작,기타,
2,724,사진,7,724.0,,콘텐츠 제작,사진,
2,725,엔터테이너,7,725.0,,콘텐츠 제작,엔터테이너,
2,901,연애상담,9,901.0,,상담·컨설팅,연애상담,
2,902,운세,9,902.0,,상담·컨설팅,운세,
2,903,취업,9,903.0,,상담·컨설팅,취업,
2,906,여행,9,906.0,,상담·컨설팅,여행,
2,907,기타,9,907.0,,상담·컨설팅,기타,
2,912,구매·생활팁,9,912.0,,상담·컨설팅,구매·생활팁,
2,916,자산관리,9,916.0,,상담·컨설팅,자산관리,
2,918,창업·사업계획,9,918.0,,상담·컨설팅,창업·사업계획,
2,919,시장조사,9,919.0,,상담·컨설팅,시장조사,
2,920,법률 자문,9,920.0,,상담·컨설팅,법률 자문,
2,921,세무회계,9,921.0,,상담·컨설팅,세무회계,
2,922,비즈니스 팁,9,922.0,,상담·컨설팅,비즈니스 팁,
2,923,심리상담,9,923.0,,상담·컨설팅,심리상담,
2,925,법무,9,925.0,,상담·컨설팅,법무,
2,926,특허,9,926.0,,상담·컨설팅,특허,
2,927,학업,9,927.0,,상담·컨설팅,학업,
2,1001,외국어,10,1001.0,,레슨,외국어,
2,1002,음악,10,1002.0,,레슨,음악,
2,1003,스포츠,10,1003.0,,레슨,스포츠,
2,1004,공예,10,1004.0,,레슨,공예,
2,1005,컴퓨터,10,1005.0,,레슨,컴퓨터,
2,1006,사진,10,1006.0,,레슨,사진,
2,1007,요리·조리,10,1007.0,,레슨,요리·조리,
2,1008,뷰티·미용,10,1008.0,,레슨,뷰티·미용,
2,1020,기타,10,1020.0,,레슨,기타,
2,1021,입시·학업,10,1021.0,,레슨,입시·학업,
2,1023,영상,10,1023.0,,레슨,영상,
2,1024,그래픽디자인,10,1024.0,,레슨,그래픽디자인,
2,1025,취미미술,10,1025.0,,레슨,취미미술,
2,1026,악기,10,1026.0,,레슨,악기,
2,1027,자기계발,10,1027.0,,레슨,자기계발,
2,1028,공간대여,10,1028.0,,레슨,공간대여,
2,1101,리빙·오피스,11,1101.0,,핸드메이드,리빙·오피스,
2,1102,푸드,11,1102.0,,핸드메이드,푸드,
2,1103,패션,11,1103.0,,핸드메이드,패션,
2,1104,육아·아동,11,1104.0,,핸드메이드,육아·아동,
2,1105,반려동물,11,1105.0,,핸드메이드,반려동물,
2,1107,기타,11,1107.0,,핸드메이드,기타,
2,1108,웨딩·파티,11,1108.0,,핸드메이드,웨딩·파티,
2,1109,뷰티,11,1109.0,,핸드메이드,뷰티,
2,1110,전통주,11,1110.0,,핸드메이드,전통주,
3,10201,그래픽 UI,1,102.0,10201.0,디자인,웹·모바일 디자인,그래픽 UI
3,10202,아이콘·버튼,1,102.0,10202.0,디자인,웹·모바일 디자인,아이콘·버튼
3,10203,와이어프레임 UX,1,102.0,10203.0,디자인,웹·모바일 디자인,와이어프레임 UX
3,10801,제품디자인,1,108.0,10801.0,디자인,3D 모델링·도면,제품디자인
3,10802,공간디자인,1,108.0,10802.0,디자인,3D 모델링·도면,공간디자인
3,10803,3D 프린팅,1,108.0,10803.0,디자인,3D 모델링·도면,3D 프린팅
3,20201,지도평가,2,202.0,20201.0,마케팅,앱·지도평가,지도평가
3,20202,앱 리뷰,2,202.0,20202.0,마케팅,앱·지도평가,앱 리뷰
3,20203,앱 다운로드,2,202.0,20203.0,마케팅,앱·지도평가,앱 다운로드
3,20302,구독자·팔로워,2,203.0,20302.0,마케팅,SNS 마케팅,구독자·팔로워
3,20303,포스팅,2,203.0,20303.0,마케팅,SNS 마케팅,포스팅
3,20304,계정운영,2,203.0,20304.0,마케팅,SNS 마케팅,계정운영
3,20307,홍보,2,203.0,20307.0,마케팅,SNS 마케팅,홍보
3,20501,교통매체광고,2,205.0,20501.0,마케팅,오프라인광고,교통매체광고
3,20502,옥외광고,2,205.0,20502.0,마케팅,오프라인광고,옥외광고
3,20503,신문·잡지광고,2,205.0,20503.0,마케팅,오프라인광고,신문·잡지광고
3,20505,전단·배포광고,2,205.0,20505.0,마케팅,오프라인광고,전단·배포광고
3,20506,송출·영상광고,2,205.0,20506.0,마케팅,오프라인광고,송출·영상광고
3,21501,노하우,2,215.0,21501.0,마케팅,마케팅 컨설팅,노하우
3,21502,브랜드 마케팅 노하우,2,215.0,21502.0,마케팅,마케팅 컨설팅,브랜드 마케팅 노하우
3,21701,포스팅,2,217.0,21701.0,마케팅,카페·블로그,포스팅
3,21703,관리운영,2,217.0,21703.0,마케팅,카페·블로그,관리운영
3,21704,트래픽,2,217.0,21704.0,마케팅,카페·블로그,트래픽
3,22201,연관검색·자동완성,2,222.0,22201.0,마케팅,상위노출·검색작업,연관검색·자동완성
3,22202,질문답변·기타,2,222.0,22202.0,마케팅,상위노출·검색작업,질문답변·기타
3,22203,카페·블로그,2,222.0,22203.0,마케팅,상위노출·검색작업,카페·블로그
3,22204,앱·지도평가,2,222.0,22204.0,마케팅,상위노출·검색작업,앱·지도평가
3,22701,블로그/카페,2,227.0,22701.0,마케팅,배너노출광고,블로그/카페
3,22702,포털사이트,2,227.0,22702.0,마케팅,배너노출광고,포털사이트
3,22703,네트워크 배너광고,2,227.0,22703.0,마케팅,배너노출광고,네트워크 배너광고
3,22704,SNS 배너광고,2,227.0,22704.0,마케팅,배너노출광고,SNS 배너광고
3,22705,기타 배너광고,2,227.0,22705.0,마케팅,배너노출광고,기타 배너광고
3,30101,영어,3,301.0,30101.0,번역·통역,번역,영어
3,30102,중국어,3,301.0,30102.0,번역·통역,번역,중국어
3,30103,일본어,3,301.0,30103.0,번역·통역,번역,일본어
3,30104,독일어,3,301.0,30104.0,번역·통역,번역,독일어
3,30105,러시아어,3,301.0,30105.0,번역·통역,번역,러시아어
3,30106,베트남어,3,301.0,30106.0,번역·통역,번역,베트남어
3,30107,스페인어,3,301.0,30107.0,번역·통역,번역,스페인어
3,30108,이탈리아어,3,301.0,30108.0,번역·통역,번역,이탈리아어
3,30109,인도네시아어,3,301.0,30109.0,번역·통역,번역,인도네시아어
3,30110,포르투갈어,3,301.0,30110.0,번역·통역,번역,포르투갈어
3,30111,프랑스어,3,301.0,30111.0,번역·통역,번역,프랑스어
3,30112,기타,3,301.0,30112.0,번역·통역,번역,기타
3,30301,영어,3,303.0,30301.0,번역·통역,통역,영어
3,30302,중국어,3,303.0,30302.0,번역·통역,통역,중국어
3,30303,일본어,3,303.0,30303.0,번역·통역,통역,일본어
3,30304,독일어,3,303.0,30304.0,번역·통역,통역,독일어
3,30305,러시아어,3,303.0,30305.0,번역·통역,통역,러시아어
3,30306,베트남어,3,303.0,30306.0,번역·통역,통역,베트남어
3,30307,스페인어,3,303.0,30307.0,번역·통역,통역,스페인어
3,30308,이탈리아어,3,303.0,30308.0,번역·통역,통역,이탈리아어
3,30309,인도네시아어,3,303.0,30309.0,번역·통역,통역,인도네시아어
3,30310,포르투갈어,3,303.0,30310.0,번역·통역,통역,포르투갈어
3,30311,프랑스어,3,303.0,30311.0,번역·통역,통역,프랑스어
3,30312,기타,3,303.0,30312.0,번역·통역,통역,기타
3,40101,사업계획서,4,401.0,40101.0,문서작성,사업계획서·제안서,사업계획서
3,40102,제안서,4,401.0,40102.0,문서작성,사업계획서·제안서,제안서
3,40201,논문,4,402.0,40201.0,문서작성,학문·논설,논문
3,40202,에세이,4,402.0,40202.0,문서작성,학문·논설,에세이
3,40203,독후감,4,402.0,40203.0,문서작성,학문·논설,독후감
3,40601,기업명·슬로건,4,406.0,40601.0,문서작성,카피라이팅,기업명·슬로건
3,40602,상품소개,4,406.0,40602.0,문서작성,카피라이팅,상품소개
3,40603,광고 카피라이팅,4,406.0,40603.0,문서작성,카피라이팅,광고 카피라이팅
3,40604,웹 카피라이팅,4,406.0,40604.0,문서작성,카피라이팅,웹 카피라이팅
3,40801,스크립트·각본,4,408.0,40801.0,문서작성,글작성·창작·대본,스크립트·각본
3,40802,이야기·시,4,408.0,40802.0,문서작성,글작성·창작·대본,이야기·시
3,40803,책·전자책,4,408.0,40803.0,문서작성,글작성·창작·대본,책·전자책
3,40805,블로그,4,408.0,40805.0,문서작성,글작성·창작·대본,블로그
3,41201,자기소개서,4,412.0,41201.0,문서작성,자기소개서·이력서,자기소개서
3,41202,이력서,4,412.0,41202.0,문서작성,자기소개서·이력서,이력서
3,60101,웹사이트 제작,6,601.0,60101.0,IT·프로그래밍,웹사이트 개발,웹사이트 제작
3,60102,랜딩페이지,6,601.0,60102.0,IT·프로그래밍,웹사이트 개발,랜딩페이지
3,60103,버그 수정,6,601.0,60103.0,IT·프로그래밍,웹사이트 개발,버그 수정
3,60104,웹사이트 개선,6,601.0,60104.0,IT·프로그래밍,웹사이트 개발,웹사이트 개선
3,60106,HTML·CSS 퍼블리싱,6,601.0,60106.0,IT·프로그래밍,웹사이트 개발,HTML·CSS 퍼블리싱
3,60108,기타,6,601.0,60108.0,IT·프로그래밍,웹사이트 개발,기타
3,60109,웹사이트 제작(CMS),6,601.0,60109.0,IT·프로그래밍,웹사이트 개발,웹사이트 제작(CMS)
3,60110,퍼포먼스·SEO,6,601.0,60110.0,IT·프로그래밍,웹사이트 개발,퍼포먼스·SEO
3,60111,보안,6,601.0,60111.0,IT·프로그래밍,웹사이트 개발,보안
3,60201,네이티브앱,6,602.0,60201.0,IT·프로그래밍,모바일앱·웹,네이티브앱
3,60202,웹앱,6,602.0,60202.0,IT·프로그래밍,모바일앱·웹,웹앱
3,60203,앱 개선,6,602.0,60203.0,IT·프로그래밍,모바일앱·웹,앱 개선
3,60204,버그 수정,6,602.0,60204.0,IT·프로그래밍,모바일앱·웹,버그 수정
3,60205,기타,6,602.0,60205.0,IT·프로그래밍,모바일앱·웹,기타
3,60301,웹사이트 제작,6,603.0,60301.0,IT·프로그래밍,워드프레스,웹사이트 제작
3,60302,웹사이트 개선,6,603.0,60302.0,IT·프로그래밍,워드프레스,웹사이트 개선
3,60303,버그 수정,6,603.0,60303.0,IT·프로그래밍,워드프레스,버그 수정
3,60304,랜딩페이지,6,603.0,60304.0,IT·프로그래밍,워드프레스,랜딩페이지
3,60305,설치·설정,6,603.0,60305.0,IT·프로그래밍,워드프레스,설치·설정
3,60306,퍼포먼스·SEO,6,603.0,60306.0,IT·프로그래밍,워드프레스,퍼포먼스·SEO
3,60307,복제·마이그레이션,6,603.0,60307.0,IT·프로그래밍,워드프레스,복제·마이그레이션
3,60308,보안,6,603.0,60308.0,IT·프로그래밍,워드프레스,보안
3,60309,기타,6,603.0,60309.0,IT·프로그래밍,워드프레스,기타
3,60501,일반 프로그램,6,605.0,60501.0,IT·프로그래밍,프로그램 개발,일반 프로그램
3,60502,프로그램 개선,6,605.0,60502.0,IT·프로그래밍,프로그램 개발,프로그램 개선
3,60503,버그 수정,6,605.0,60503.0,IT·프로그래밍,프로그램 개발,버그 수정
3,60504,기타,6,605.0,60504.0,IT·프로그래밍,프로그램 개발,기타
3,60505,임베디드 시스템,6,605.0,60505.0,IT·프로그래밍,프로그램 개발,임베디드 시스템
3,60601,웹사이트 제작(CMS),6,606.0,60601.0,IT·프로그래밍,쇼핑몰·커머스,웹사이트 제작(CMS)
3,60602,웹사이트 개선,6,606.0,60602.0,IT·프로그래밍,쇼핑몰·커머스,웹사이트 개선
3,60604,버그 수정,6,606.0,60604.0,IT·프로그래밍,쇼핑몰·커머스,버그 수정
3,60605,기타,6,606.0,60605.0,IT·프로그래밍,쇼핑몰·커머스,기타
3,60607,보안,6,606.0,60607.0,IT·프로그래밍,쇼핑몰·커머스,보안
3,60608,웹사이트 제작,6,606.0,60608.0,IT·프로그래밍,쇼핑몰·커머스,웹사이트 제작
3,60609,랜딩페이지,6,606.0,60609.0,IT·프로그래밍,쇼핑몰·커머스,랜딩페이지
3,60610,퍼포먼스·SEO,6,606.0,60610.0,IT·프로그래밍,쇼핑몰·커머스,퍼포먼스·SEO
3,61001,서버·호스팅,6,610.0,61001.0,IT·프로그래밍,서버 및 기술지원,서버·호스팅
3,61002,데스크탑·노트북,6,610.0,61002.0,IT·프로그래밍,서버 및 기술지원,데스크탑·노트북
3,61003,모바일,6,610.0,61003.0,IT·프로그래밍,서버 및 기술지원,모바일
3,61201,최적화·설계,6,612.0,61201.0,IT·프로그래밍,데이터베이스,최적화·설계
3,61202,쿼리,6,612.0,61202.0,IT·프로그래밍,데이터베이스,쿼리
3,61301,데이터 모델링,6,613.0,61301.0,IT·프로그래밍,데이터분석·리포트,데이터 모델링
3,61302,데이터 시각화,6,613.0,61302.0,IT·프로그래밍,데이터분석·리포트,데이터 시각화
3,61303,데이터 입력·클리닝,6,613.0,61303.0,IT·프로그래밍,데이터분석·리포트,데이터 입력·클리닝
3,61304,VBA·매크로,6,613.0,61304.0,IT·프로그래밍,데이터분석·리포트,VBA·매크로
3,61305,데이터 마이닝·크롤링,6,613.0,61305.0,IT·프로그래밍,데이터분석·리포트,데이터 마이닝·크롤링
3,61307,데이터 분석,6,613.0,61307.0,IT·프로그래밍,데이터분석·리포트,데이터 분석
3,61801,2D,6,618.0,61801.0,IT·프로그래밍,게임,2D
3,61802,3D,6,618.0,61802.0,IT·프로그래밍,게임,3D
3,61803,AR·VR,6,618.0,61803.0,IT·프로그래밍,게임,AR·VR
3,61804,서버,6,618.0,61804.0,IT·프로그래밍,게임,서버
3,61805,기타,6,618.0,61805.0,IT·프로그래밍,게임,기타
3,72501,모델,7,725.0,72501.0,콘텐츠 제작,엔터테이너,모델
3,72502,MC,7,725.0,72502.0,콘텐츠 제작,엔터테이너,MC
3,72503,배우,7,725.0,72503.0,콘텐츠 제작,엔터테이너,배우
3,72504,공연,7,725.0,72504.0,콘텐츠 제작,엔터테이너,공연
3,72505,기타,7,725.0,72505.0,콘텐츠 제작,엔터테이너,기타
